order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD254575,ID0283530679,2022-07-29,Nickolson,"[('pearTV', 1), ('Lucent 330S', 2), ('Universe Note', 1)]",12220,,-37.8173539,144.9734986,50,Winter,False,0.37362,pink and green display lines appeared after 3 months. ... pink and green display lines appeared after 3 months. too expensive to repair as it costs as much as 330 dollars. i just ended up buying a new phone,False
ORD278269,ID2020813855,2022-05-28,,"[('Olivia x460', 1), ('Thunder line', 2), ('pearTV', 2), ('iStream', 1)]",18355,64.054,-37.811974600000006,144.9594259,0,Autumn,True,,"it's been just over a year and the battery is ... it's been just over a year and the battery is dead. it took about half a year before it bogged down. i run very few apps, this shouldn't be happening already.",False
ORD457156,ID0412650031,2022-04-02,Bakers,"[('Toshika 750', 1), ('Candle Inferno', 2), ('iAssist Line', 1)]",7405,82.526,-37.799204,144.981084,0,Autumn,True,1.72963,"like new for great price sorry, this video is unsupported on this browser.  looks like new, battery lasts all day, touch screen and finger print work great. speaker and mic work great. no cosmetic defects looks new.",True
ORD269979,ID0233262575,2022-08-20,,"[('Candle Inferno', 2), ('Lucent 330S', 1)]",2090,51.056,-37.8033157,144.9823134,25,Winter,False,,long lasting battery life and quick responses from the apps. i am very satisfied with my purchase.,True
ORD192951,ID4353912833,2022-03-19,Bakers,"[('Candle Inferno', 2), ('Toshika 750', 1), ('Olivia x460', 2)]",7630,70.74,-37.8244037,145.0129522,0,Autumn,False,2.23616,i like the list ability and the music i can play.  i do not like that i can not create a playlist without using the app and even then iassist will not play my songs i have to do it through my tablet or phone.  i also do not like that alex can not print again it has to be done through the app.,True
ORD053428,ID3313210939,2022-08-19,Nickolson,"[('Candle Inferno', 2), ('Toshika 750', 2), ('iAssist Line', 1)]",11725,62.857,-37.8188827,144.9654991,0,Winter,False,0.35774,"great phone, its not fun, more 4 the grown n productive it is a good phone, a little confusing at first but is easy to use once you get the hang of it.",True
ORD462463,ID4315827361,2022-10-26,Bakers,"[('Universe Note', 1), ('Candle Inferno', 2), ('pearTV', 1), ('iAssist Line', 1)]",12845,98.584,-37.810602,145.00082680000003,0,Spring,True,0.49664,four stars good,True
ORD344352,ID0448076960,2022-10-04,Nickolson,"[('iAssist Line', 1), ('Universe Note', 2), ('Olivia x460', 2)]",11575,54.362,-37.799995,144.97402319999995,25,Spring,False,2.10752,"want a refund or a new phone sorry, this video is unsupported on this browser.  this deserves no star at all.... bought this in august and now is october and all i'm seeing in the screen is just light ....a blank light screen kmt...waste of money",False
ORD409406,ID1889062478,2022-08-19,Bakers,"[('Candle Inferno', 2), ('Alcon 10', 1), ('Toshika 750', 2)]",18450,64.844,-37.79305,144.97572,25,Winter,True,2.55025,i love the phone!! i love the phone i'm using it for my personal use. thank you.,True
ORD162360,ID2473002365,2022-08-23,Bakers,"[('Thunder line', 2), ('Universe Note', 1), ('Olivia x460', 1)]",9035,77.091,-37.8042115,145.002375,0,Winter,True,0.89961,brand new exactly as described. i will definitely buy again.,True
ORD180950,ID1964021884,2022-02-14,Nickolson,"[('Universe Note', 2), ('Candle Inferno', 1), ('Toshika 750', 2), ('iStream', 1)]",16120,34.527,-37.81825170000001,144.9651695,50,Summer,False,0.38718,great phone at great prices its looked brand new rigjt out the box and works like new also,True
ORD482013,ID0711762206,2022-01-22,,"[('Toshika 750', 2), ('Alcon 10', 2)]",26540,89.619,-37.81483239999999,144.9450731,0,Summer,True,,"i like the fact that i can get any kind of music from gold that i want on request from iassist. i liked the informative photo little pamphlet but wish it included how to connect your tv etc. to the commands from iassist. but, i really love having the music.",True
ORD472084,ID0233262762,2022-01-31,Bakers,"[('Candle Inferno', 2), ('pearTV', 2)]",13480,104.394,-37.8016989,144.97906369999995,0,Summer,True,1.69564,"well worth it, way better than lg stylo 4, big time! great phone i'm so glad i didn't get the lg stylo 4! i love everything about the phone! works great with my metro by t-mobile plan!",True
ORD235688,ID0206204621,2022-11-01,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('Lucent 330S', 2), ('Alcon 10', 2)]",25110,83.772,-37.818287,144.9257374,25,Spring,True,1.97723,great phone. it's more than i expected in performance and i havent even used all the features yet. far superior to my old note 5 and i liked that phone a lot.,True
ORD299269,ID4716795441,2022-01-26,Thompson,"[('Universe Note', 1), ('pearTV', 2)]",16070,40.431,-37.8188621,144.9534438,50,Summer,True,0.8882,disappointed the phone was beat up and scratched poor condition,False
ORD380441,ID5884356129,2022-04-25,,"[('pearTV', 1), ('iAssist Line', 2), ('Candle Inferno', 1), ('Toshika 750', 2)]",19830,50.676,-37.823717,144.9376977,25,Autumn,False,1.48001,good one best for the value,True
ORD158210,ID2140983798,2022-09-02,,"[('iStream', 1), ('Olivia x460', 2)]",2600,39.115,-37.8067305,144.9393992,50,Spring,False,0.94477,five stars :),True
ORD276937,ID0579999697,2022-02-13,Thompson,"[('Alcon 10', 1), ('Toshika 750', 1), ('Thunder line', 1)]",15450,40.784,-37.805928,144.9320632,50,Summer,False,1.51835,works great i've been using xiaomi phones for some time. they work great. the price is also excellent! happy again with xiaomi.,True
ORD374683,ID0282825777,2022-02-13,Thompson,"[('iAssist Line', 1), ('Lucent 330S', 2)]",4685,75.449,-37.8031607,144.95006980000005,0,Summer,False,1.0913,"it's one sexy phone me love it, but would randomly lag",True
ORD287373,ID0579383627,2022-06-19,Thompson,"[('pearTV', 2), ('Lucent 330S', 1)]",13850,59.915,-37.8246643,144.9429264,25,Winter,True,1.38363,great phone bargain price very happy with the lucent e5 factory unlocked phone. compatible with both the verizon and at&t networks. so happy i bought a second one!,True
ORD005710,ID0560984938,2022-01-01,Thompson,"[('Universe Note', 1), ('Toshika 750', 1), ('pearTV', 2), ('Lucent 330S', 1)]",21620,75.985,-37.8183805,144.94735830000005,0,Summer,True,0.63583,one star the phone came with a different operating system not the android operating system...kept asking me to reboot the phone,False
ORD475169,ID3967630078,2022-04-04,Thompson,"[('iStream', 2), ('Toshika 750', 2)]",8940,40.076,-37.8178396,144.9527211,50,Autumn,True,0.76014,good phonr good battery life and very quick with lots memory,True
ORD400865,ID3218226981,2022-07-12,Thompson,"[('Olivia x460', 2), ('pearTV', 2)]",15070,62.061,-37.8076352,144.94438200000005,0,Winter,True,0.60857,bad expensive phone and don't worth.the battery health only 70%.battery super bad.worst battery phone i ever used. and the bottom screw is rusty.,False
ORD319991,ID0774508242,2022-01-27,,"[('Candle Inferno', 1), ('pearTV', 1), ('Alcon 10', 2), ('iStream', 1)]",24790,100.029,-37.8063166,144.9593667,0,Summer,True,1.29246,"great gift, but buy early. the delivery took longer than advertised, but the product is perfect.",True
ORD357000,ID0128876893,2022-06-02,Bakers,"[('Candle Inferno', 1), ('Alcon 10', 2)]",18330,48.922,-37.8028201,144.9956864,25,Winter,False,0.79981,great smartphone i'm the type of individual that is computer & smartphone. i upgraded my cell phone with this. if i can work this - anyone can! well worth the money!,True
ORD449775,ID0871096410,2022-01-26,,"[('Alcon 10', 1), ('Lucent 330S', 2), ('Thunder line', 1)]",13590,64.349,-37.8019828,144.95963490000003,25,Summer,True,,can't use it!!! seller didn't notify you need a nano (size) sim card for this phone! useless!,False
ORD084643,ID4746121968,2022-02-23,Nickolson,"[('Lucent 330S', 2), ('Olivia x460', 2), ('Toshika 750', 2)]",13550,,-37.8123258,144.9735736,0,Summer,False,0.7824,a waste of was not unlocked! a waste of time,False
ORD123267,ID0591433832,2022-03-20,Nickolson,"[('iAssist Line', 1), ('Universe Note', 2), ('Alcon 10', 2), ('pearTV', 1)]",33335,63.088,-37.818243,144.9683745,0,Autumn,False,0.11063,"as advertised inexpensive, durable and easy to put on.",True
ORD219106,ID0579971507,2022-06-02,Thompson,"[('Olivia x460', 2), ('Thunder line', 1), ('Alcon 10', 1), ('Toshika 750', 2)]",22220,34.971,-37.8115833,144.9457276,25,Winter,False,0.16922,no features horrible phone. no internet or multi media faetures,False
ORD002224,ID4313862248,2022-03-02,,"[('Olivia x460', 1), ('iStream', 1), ('Toshika 750', 2), ('Lucent 330S', 1)]",11245,25.827,-37.8195942,144.9901822,50,Autumn,False,,one star put in the new battery still doesn't hold a charge,False
ORD427427,ID2412954937,2022-05-22,,"[('Universe Note', 1), ('iAssist Line', 2)]",7900,77.412,-37.817575700000006,144.9671415,0,Autumn,True,0.24035,love it best phone from toshika so far,True
ORD065873,ID2207661068,2022-12-27,Thompson,"[('pearTV', 1), ('Olivia x460', 1)]",7535,48.979,-37.8018155,144.945695,50,Summer,True,1.21467,"best phone i've ever had. this is the best phone i've had yet. i've gone through a used olivia universe s3, to a j3 emerge to this phone. i love it very much. only complaint i have is that i had to buy an old sum card on digico that boost no longer sells in their kits",True
ORD345908,ID1560149571,2022-10-22,Thompson,"[('Toshika 750', 1), ('Olivia x460', 2)]",6770,51.49,-37.8157587,144.9372072,50,Spring,True,0.93278,no windows 10 mobile support? no bueno. great phone for the price. only downside is that microsoft has capped out the lumia model's which support windows 10 mobile.,True
ORD313796,ID0634779299,2022-04-06,Thompson,"[('Olivia x460', 2), ('Toshika 750', 1)]",6770,49.223,-37.8135093,144.9378039,25,Autumn,False,0.82008,working great so far. son has been using this for 5 months and no problems. thank you.,True
ORD027666,ID5797758278,2022-10-11,Thompson,"[('pearTV', 1), ('Candle Inferno', 2), ('Alcon 10', 1), ('iStream', 1)]",16270,75.802,-37.807004,144.9452761,0,Spring,False,0.65048,five stars it’s so good,True
ORD484107,ID4637139142,2022-10-14,Thompson,"[('Olivia x460', 1), ('Lucent 330S', 2)]",3685,56.205,-37.8088649,144.9478186,25,Spring,False,0.42903,extremely easy to use! switched away from directv and use it to stream t.v.,True
ORD080271,ID1224869065,2022-10-27,Thompson,"[('Alcon 10', 2), ('iAssist Line', 1), ('Lucent 330S', 2), ('Thunder line', 1)]",24765,56.882,-37.8136729,144.9410854,25,Spring,False,0.53784,"good phone lasted 8 months before it got ""the black screen of death"" a week ago. it was already an out of date model when i bought it so i'm not too upset about it. it just pooped out at a horrible time. but all in all a great phone. camera is good and the phone runs fast.",True
ORD039500,ID5001030345,2022-02-13,Thompson,"[('Alcon 10', 2), ('iStream', 2), ('pearTV', 1)]",24510,44.49,-37.8107806,144.95292080000004,50,Summer,True,0.55609,¡una gran compra! excelente servicio de parte del suplidor. un móvil de goldra y simplemente genial. muy satisfthunder.,True
ORD161673,ID6167417983,2022-12-12,Nickolson,"[('iAssist Line', 1), ('Alcon 10', 2), ('Universe Note', 2)]",27025,46.8,-37.81130260000001,144.972848,50,Summer,True,0.86199,"still trying to figure everything out, but loving this ... still trying to figure everything out, but loving this phone so far. an upgrade for me considering i've always used hand me down phones.",True
ORD467014,ID4516260664,2022-03-11,Thompson,"[('Lucent 330S', 2), ('Universe Note', 1), ('Toshika 750', 2), ('Alcon 10', 1)]",23500,38.898,-37.8087321,144.9473669,50,Autumn,True,0.43949,five stars it is matched with description. and please didn't leave package front of door.,True
ORD163590,ID4754200404,2022-09-04,,"[('iAssist Line', 1), ('Thunder line', 2)]",6585,80.869,-37.816478,144.9283509,25,Spring,True,,was weary at first but then totoally impressed i was weary about buying a used phone online but i was totally impressed when it was received. it was in great shape and runs like a charm. love it!!!!,True
ORD134510,ID2948774565,2022-04-16,Nickolson,"[('Lucent 330S', 2), ('iStream', 2), ('Olivia x460', 2)]",5210,59.379,-37.8082246,144.97140190000005,25,Autumn,True,1.16582,five stars exllent very good phone iam veryhappy,True
ORD400982,ID0577522818,2022-12-13,Nickolson,"[('Lucent 330S', 1), ('Universe Note', 1)]",4680,70.352,-37.8227754,144.9743881,0,Summer,False,0.63045,me gustó el diseño funciona perfecto,True
ORD264061,ID0441031305,2022-09-29,,"[('Candle Inferno', 2), ('pearTV', 2)]",13480,37.955,-37.8130028,144.9376504,50,Spring,False,0.8291,"i'm very happy with my phone i'm very happy with my phone. just had some trouble updating it to the most recent software, but i could fix it. very content!",True
ORD077261,ID3313210934,2022-03-11,,"[('Thunder line', 2), ('Lucent 330S', 2), ('iStream', 1)]",6970,75.968,-37.8183603,144.96701819999996,0,Autumn,True,0.22425,"great phone everything is perfect with this phone.. i’m not so exigent but yet, the device answer to all my needs.",True
ORD168199,ID1519470861,2022-04-04,Bakers,"[('Olivia x460', 1), ('iStream', 1), ('Candle Inferno', 1)]",1805,,-37.7961225,144.99371269999997,0,Autumn,False,1.55014,is what it said it would be my daughter loves her new alcon,True
ORD004475,ID1271016085,2022-09-11,Thompson,"[('Alcon 10', 1), ('Toshika 750', 1), ('pearTV', 2), ('Lucent 330S', 2)]",28350,51.001,-37.8160229,144.93830309999996,50,Spring,True,0.85632,four stars umts is not working and it got locked on at & t but it was worth the price,True
ORD009157,ID3676171114,2022-05-04,Bakers,"[('Alcon 10', 1), ('pearTV', 2), ('Candle Inferno', 1)]",22000,68.853,-37.8196162,145.0159077,0,Autumn,False,2.11015,i'm getting used to the phone. i still have ... i'm getting used to the phone.i still have a learning curve wish there was a demo online showing you how to use the phone and all of its features.,True
ORD363612,ID4883391027,2022-02-21,Bakers,"[('Toshika 750', 2), ('iStream', 1)]",8790,91.626,-37.8195648,145.01410019999997,0,Summer,True,1.97174,one star returned,False
ORD017452,ID6209516580,2022-11-24,Nickolson,"[('Toshika 750', 2), ('Lucent 330S', 2), ('iAssist Line', 2)]",15550,42.315,-37.8028836,144.966495,50,Spring,False,1.76948,"very happy very fast shipping. not factory charger, much better charge cable. thank you.",True
ORD181616,ID2384091384,2022-04-17,Nickolson,"[('Thunder line', 1), ('Alcon 10', 2), ('Lucent 330S', 1), ('Olivia x460', 1)]",22535,59.557,-37.8080773,144.9729993,25,Autumn,True,1.20943,amazing! phone quality is as great as a regular olivia universe (if not better),True
ORD466516,ID1462398968,2022-06-17,Bakers,"[('Universe Note', 1), ('Toshika 750', 1), ('iStream', 1)]",7920,82.642,-37.8201747,145.01397980000004,0,Winter,True,2.00049,"fast heavy, needs better graphics",True
ORD373948,ID6202471440,2022-01-18,,"[('Olivia x460', 1), ('Thunder line', 1), ('pearTV', 1), ('Lucent 330S', 2)]",12175,71.93,-37.8229455,144.9811356,25,Summer,True,,trust this seller.. avrived fast on as spec'd i wanted the dual sims card slot that is not sold in the us and understand the limited warranty as a result.. the phone came and works solid.. side note this of a tmoblie account and will not work with some of the others.,True
ORD180134,ID6167254947,2022-10-29,Nickolson,"[('Toshika 750', 2), ('Olivia x460', 1)]",9865,57.937,-37.8165345,144.97103930000003,0,Spring,False,0.26408,"phone unusable after about 8 months -- deserves 0 stars! the phone started rebooting non-stop, eventually it would load android, but now it just keeps rebooting. factory reset fails, now i have a brick! while it worked, only complaint was poor signal strength. last time i'm buying lucentrola.",False
ORD210133,ID2133326031,2022-08-02,Nickolson,"[('Olivia x460', 2), ('iAssist Line', 1), ('Universe Note', 1)]",8125,60.276,-37.80598870000001,144.9736895,25,Winter,True,1.44973,"olivia universe s7 phone arrived very late, was supposed to be gold but we got silver. the phone was also supposed to verison & straight talk compable, but it was not.",True
ORD245986,ID0356452831,2022-09-06,Bakers,"[('Candle Inferno', 2), ('pearTV', 2), ('Alcon 10', 1)]",22430,103.29,-37.8054866,144.9882968,0,Spring,True,0.78995,new phone hubby loves his new phone.,True
ORD454542,ID6167489424,2022-05-15,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 2)]",9070,61.31,-37.8110074,144.95871530000005,25,Autumn,True,1.04088,five stars dont listen to some of the bad reviews its a great phone,True
ORD210216,ID3240572176,2022-02-14,Thompson,"[('Olivia x460', 1), ('iStream', 2), ('pearTV', 2)]",14145,,-37.8056525,144.9309168,25,Summer,True,1.62132,i am available to stay in contact with my child. thanks replace and upgrade a cellphone. the price was a tremendous savings compared to oem vendors.,True
ORD383695,ID4876983677,2022-09-19,,"[('pearTV', 2), ('Candle Inferno', 1), ('Lucent 330S', 1)]",14280,52.608,-37.8156809,144.9352941,50,Spring,True,,"lucentrola is known for quality. i have been very happy with my lucentrola g6 phone. i like the security on the phone. the is very clear making it easy to read. that work on the internet, give it a big plus.",True
ORD383298,ID0777776726,2022-03-11,Thompson,"[('iAssist Line', 2), ('Toshika 750', 2)]",13090,49.16,-37.8056214,144.95057830000005,25,Autumn,False,0.84348,"love it. great phone, great price!",True
ORD146370,ID6167344496,2022-03-15,Nickolson,"[('Universe Note', 1), ('Alcon 10', 2)]",21350,49.511,-37.8088313,144.9664485,25,Autumn,False,1.12059,excellent. just as good as ipad with a fraction of the price.,True
ORD251442,ID2314545812,2022-03-02,Bakers,"[('pearTV', 1), ('Candle Inferno', 1)]",6740,64.894,-37.8049103,144.9882321,0,Autumn,False,0.83637,best phone i ever had! best phone i ever had! lasted 3 years battery life low now did all it could and more and cheap who needs a $900 phone really! :),True
ORD357208,ID0588236765,2022-01-09,Nickolson,"[('Thunder line', 1), ('Olivia x460', 1)]",3405,57.142,-37.81143970000001,144.9732334,0,Summer,False,0.85982,will not hold signal through metropcs will not hold signal through metropcs,False
ORD007395,ID5668009842,2022-10-14,Bakers,"[('Toshika 750', 1), ('Olivia x460', 1)]",5545,54.855,-37.8110215,145.015575,50,Spring,True,1.79271,five stars love my phone...it's everything that i need for communication.,True
ORD056881,ID0711773585,2022-07-21,,"[('Olivia x460', 1), ('Universe Note', 1)]",4675,76.321,-37.8175784,144.9486776,0,Winter,True,,"great phone great phone better that expected , works great with absolutely no issues",True
ORD251141,ID1463620935,2022-02-23,Bakers,"[('Olivia x460', 2), ('Toshika 750', 1), ('pearTV', 2)]",19390,60.098,-37.8163839,145.0041885,25,Summer,True,1.06114,"this is an updated post. there is something seriously ... this is an updated post. there is something seriously wrong with this phone. the regular speaker on the phone works only intermittently, and only very rarely. i'm not sure if it is a hardware problem with the speaker itself or something deeper, but it is not usable.",False
ORD431302,ID0595594351,2022-11-11,Nickolson,"[('Alcon 10', 2), ('pearTV', 1), ('Thunder line', 1), ('Universe Note', 1)]",29840,76.994,-37.8106465,144.9680408,25,Spring,True,0.89472,puntualidad genial,True
ORD487107,ID2332601815,2022-12-25,,"[('iStream', 1), ('Olivia x460', 1), ('Thunder line', 1), ('pearTV', 1)]",9865,65.075,-37.80430670000001,145.0111534,25,Summer,True,1.53684,phone came without sim card slot 😡😡😡 this cake without sim card holder.........,False
ORD347013,ID5301568589,2022-03-05,Thompson,"[('Toshika 750', 2), ('Candle Inferno', 1), ('Alcon 10', 2)]",26970,78.935,-37.8081644,144.941866,0,Autumn,True,0.67918,"phone was as promised i ordered this phone and the shipping was delayed, but based upon the information provided, it was due to usps and not in any way the seller's fault. when the phone arrived, it was as promised. i have used it for a couple of weeks now and it works fine.",True
ORD050536,ID2950822815,2022-04-15,Nickolson,"[('Universe Note', 1), ('iStream', 1), ('pearTV', 1)]",9910,58.459,-37.8196878,144.9616544,25,Autumn,True,0.70496,it was by far the best deal out there for the money very happy,True
ORD092938,ID0589664986,2022-05-22,,"[('Thunder line', 1), ('Candle Inferno', 1), ('Lucent 330S', 1), ('Universe Note', 1)]",7290,37.786,-37.82140029999999,144.9543615,25,Autumn,False,1.16405,terrible software worst phone i've owned. bluetooth doesn't work no gyroscope so no vr. wi-fi and bluetooth can't be used at the same time. gps constantly drops. nonexistent tech support and updates. stay away...,False
ORD192713,ID2170946982,2022-06-29,Bakers,"[('iAssist Line', 2), ('Thunder line', 2), ('Olivia x460', 1)]",10035,32.362,-37.8018716,144.9841585,50,Winter,True,1.32908,i didn’t order it,False
